Tijd,Versnelling 1,Versnelling 2
3.000060001200024e-05,1.5191908858088107e-12,0.0
3.060061201224024e-05,1.529195303635671e-12,0.0
3.120062401248025e-05,1.5392644958310616e-12,0.0
3.180063601272025e-05,1.5493988743682216e-12,0.0
3.2400648012960255e-05,1.5595988537808892e-12,0.0
3.3000660013200264e-05,1.5698648511958236e-12,0.0
3.3600672013440267e-05,1.5801972863456657e-12,0.0
3.420068401368027e-05,1.5905965815711728e-12,0.0
3.480069601392028e-05,1.6010631618569663e-12,0.0
3.540070801416028e-05,1.6115974548414167e-12,0.0
3.600072001440028e-05,1.6221998908156574e-12,0.0
3.660073201464029e-05,1.6328709027659114e-12,0.0
3.720074401488029e-05,1.6436109263829414e-12,0.0
3.78007560151203e-05,1.6544204000492114e-12,0.0
3.840076801536031e-05,1.66529976491567e-12,0.0
3.9000780015600314e-05,1.6762494648541285e-12,0.0
3.960079201584032e-05,1.687269946507582e-12,0.0
4.020080401608032e-05,1.6983616593221676e-12,0.0
4.080081601632033e-05,1.7095250555111709e-12,0.0
4.140082801656033e-05,1.7207605901422764e-12,0.0
4.2000840016800325e-05,1.73206872108541e-12,0.0
4.2600852017040334e-05,1.7434499090775682e-12,0.0
4.3200864017280336e-05,1.7549046177295398e-12,0.0
4.3800876017520345e-05,1.7664333135283667e-12,0.0
4.4400888017760354e-05,1.7780364658691502e-12,0.0
4.500090001800036e-05,1.7897145470717405e-12,0.0
4.560091201824036e-05,1.8014680323956468e-12,0.0
4.620092401848037e-05,1.8132974000462236e-12,0.0
4.680093601872037e-05,1.825203131232782e-12,0.0
4.740094801896038e-05,1.837185710122228e-12,0.0
4.800096001920038e-05,1.849245623929041e-12,0.0
4.860097201944038e-05,1.8613833628700545e-12,0.0
4.920098401968039e-05,1.8735994202277944e-12,0.0
4.98009960199204e-05,1.885894292347971e-12,0.0
5.04010080201604e-05,1.89826847866869e-12,0.0
5.1001020020400405e-05,1.9107224817096056e-12,0.0
5.160103202064041e-05,1.9232568071555124e-12,0.0
5.220104402088042e-05,1.9358719637945476e-12,0.0
5.280105602112042e-05,1.9485684635990572e-12,0.0
5.3401068021360414e-05,1.961346821725253e-12,0.0
5.400108002160043e-05,1.9742075565023288e-12,0.0
5.460109202184043e-05,1.987151189533475e-12,0.0
5.520110402208044e-05,2.000178245597836e-12,0.0
5.580111602232045e-05,2.0132892527876477e-12,0.0
5.6401128022560446e-05,2.026484742439224e-12,0.0
5.7001140022800455e-05,2.039765249205525e-12,0.0
5.760115202304046e-05,2.0531313110719802e-12,0.0
5.820116402328046e-05,2.066583469320791e-12,0.0
5.8801176023520475e-05,2.080122268640209e-12,0.0
5.940118802376047e-05,2.0937482570900007e-12,0.0
6.000120002400048e-05,2.107461986091554e-12,0.0
6.060121202424048e-05,2.1212640105479952e-12,0.0
6.120122402448048e-05,2.135154888759068e-12,0.0
6.180123602472049e-05,2.149135182515025e-12,0.0
6.24012480249605e-05,2.16320545707721e-12,0.0
6.30012600252005e-05,2.177366281216214e-12,0.0
6.36012720254405e-05,2.191618227226664e-12,0.0
6.420128402568052e-05,2.205961870968917e-12,0.0
6.480129602592051e-05,2.220397791853171e-12,0.0
6.540130802616052e-05,2.234926572870379e-12,0.0
6.600132002640053e-05,2.2495488006833953e-12,0.0
6.660133202664052e-05,2.2642650655181223e-12,0.0
6.720134402688053e-05,2.279075961297321e-12,0.0
6.780135602712054e-05,2.2939820856346216e-12,0.0
6.840136802736054e-05,2.308984039815186e-12,0.0
6.900138002760055e-05,2.3240824288553787e-12,0.0
6.960139202784056e-05,2.3392778615485978e-12,0.0
7.020140402808055e-05,2.354570950424067e-12,0.0
7.080141602832056e-05,2.3699623118071472e-12,0.0
7.140142802856057e-05,2.385452565865112e-12,0.0
7.200144002880056e-05,2.4010423365940565e-12,0.0
7.260145202904057e-05,2.4167322518108805e-12,0.0
7.320146402928058e-05,2.4325229433005777e-12,0.0
7.380147602952059e-05,2.4484150466829437e-12,0.0
7.440148802976057e-05,2.464409201547146e-12,0.0
7.50015000300006e-05,2.4805060514119016e-12,0.0
7.56015120302406e-05,2.496706243847129e-12,0.0
7.620152403048061e-05,2.513010430325885e-12,0.0
7.680153603072062e-05,2.5294192664341166e-12,0.0
7.74015480309606e-05,2.5459334117795412e-12,0.0
7.800156003120061e-05,2.562553529996925e-12,0.0
7.860157203144062e-05,2.579280288962052e-12,0.0
7.920158403168062e-05,2.5961143605401777e-12,0.0
7.980159603192063e-05,2.613056420799833e-12,0.0
8.040160803216062e-05,2.6301071500162697e-12,0.0
8.100162003240065e-05,2.6472672326153417e-12,0.0
8.160163203264065e-05,2.6645373573180794e-12,0.0
8.220164403288065e-05,2.6819182170152556e-12,0.0
8.280165603312067e-05,2.6994105089374385e-12,0.0
8.340166803336067e-05,2.7170149346477136e-12,0.0
8.400168003360065e-05,2.734732199945111e-12,0.0
8.460169203384067e-05,2.7525630150418726e-12,0.0
8.520170403408067e-05,2.770508094623368e-12,0.0
8.580171603432068e-05,2.788568157584495e-12,0.0
8.640172803456067e-05,2.806743927456044e-12,0.0
8.70017400348007e-05,2.8250361321013177e-12,0.0
8.760175203504069e-05,2.843445503983062e-12,0.0
8.82017640352807e-05,2.8619727799392463e-12,0.0
8.880177603552071e-05,2.8806187015320427e-12,0.0
8.94017880357607e-05,2.899384014741969e-12,0.0
9.00018000360007e-05,2.918269470239752e-12,0.0
9.060181203624072e-05,2.937275823284837e-12,0.0
9.120182403648072e-05,2.956403833859318e-12,0.0
9.180183603672073e-05,2.975654266509291e-12,0.0
9.240184803696072e-05,2.995027890621463e-12,0.0
9.300186003720073e-05,3.0145254802289345e-12,0.0
9.360187203744074e-05,3.0341478142179066e-12,0.0
9.420188403768073e-05,3.0538956762066708e-12,0.0
9.480189603792077e-05,3.0737698546482983e-12,0.0
9.540190803816077e-05,3.0937711429617757e-12,0.0
9.600192003840076e-05,3.1139003392415138e-12,0.0
9.660193203864077e-05,3.134158246695676e-12,0.0
9.720194403888077e-05,3.1545456734090005e-12,0.0
9.780195603912076e-05,3.1750634324138744e-12,0.0
9.840196803936078e-05,3.1957123417474287e-12,0.0
9.900198003960078e-05,3.2164932246175235e-12,0.0
9.96019920398408e-05,3.237406909033307e-12,0.0
0.0001002020040400808,3.258454228404529e-12,0.0
0.0001008020160403208,3.279636021016755e-12,0.0
0.0001014020280405608,3.3009531304741526e-12,0.0
0.0001020020400408008,3.322406405503683e-12,0.0
0.00010260205204104082,3.3439967000487314e-12,0.0
0.00010320206404128082,3.365724873396819e-12,0.0
0.00010380207604152082,3.387591789910207e-12,0.0
0.00010440208804176083,3.4095983195527517e-12,0.0
0.00010500210004200084,3.431745337386086e-12,0.0
0.00010560211204224084,3.454033724010965e-12,0.0
0.00010620212404248083,3.476464365315924e-12,0.0
0.00010680213604272084,3.4990381527804696e-12,0.0
0.00010740214804296084,3.521755983264229e-12,0.0
0.00010800216004320086,3.5446187590917012e-12,0.0
0.00010860217204344086,3.567627388329244e-12,0.0
0.00010920218404368086,3.5907827843283013e-12,0.0
0.00010980219604392087,3.614085866369044e-12,0.0
0.00011040220804416088,3.6375375591226665e-12,0.0
0.00011100222004440088,3.661138793072345e-12,0.0
0.00011160223204464087,3.684890504369351e-12,0.0
0.0001122022440448809,3.708793634913993e-12,0.0
0.00011280225604512088,3.732849132493433e-12,0.0
0.0001134022680453609,3.75705795041088e-12,0.0
0.00011400228004560092,3.78142104825775e-12,0.0
0.0001146022920458409,3.805939391173326e-12,0.0
0.00011520230404608091,3.830613950269397e-12,0.0
0.00011580231604632092,3.855445702778758e-12,0.0
0.00011640232804656092,3.880435631805562e-12,0.0
0.00011700234004680091,3.905584726453781e-12,0.0
0.00011760235204704094,3.9308939819448835e-12,0.0
0.00011820236404728092,3.956364399722818e-12,0.0
0.00011880237604752094,3.981996987015369e-12,0.0
0.00011940238804776096,4.007792757699281e-12,0.0
0.00012000240004800096,4.0337527315034695e-12,0.0
0.00012060241204824095,4.059877934514915e-12,0.0
0.00012120242404848096,4.0861693991342725e-12,0.0
0.00012180243604872096,4.112628164161156e-12,0.0
0.00012240244804896097,4.1392552745393036e-12,0.0
0.00012300246004920098,4.166051781846798e-12,0.0
0.000123602472049441,4.193018743934535e-12,0.0
0.000124202484049681,4.22015722534895e-12,0.0
0.000124802496049921,4.2474682967301386e-12,0.0
0.000125402508050161,4.274953035838187e-12,0.0
0.000126002520050401,4.302612526588871e-12,0.0
0.000126602532050641,4.3304478596709276e-12,0.0
0.000127202544050881,4.358460132587253e-12,0.0
0.00012780255605112102,4.386650449320576e-12,0.0
0.00012840256805136103,4.415019920785631e-12,0.0
0.000129002580051601,4.44356966461133e-12,0.0
0.00012960259205184102,4.472300805229158e-12,0.0
0.00013020260405208103,4.501214474126713e-12,0.0
0.00013080261605232104,4.5303118094612944e-12,0.0
0.00013140262805256105,4.55959395656191e-12,0.0
0.00013200264005280106,4.589062067672123e-12,0.0
0.00013260265205304104,4.618717301989621e-12,0.0
0.00013320266405328105,4.6485608259855625e-12,0.0
0.00013380267605352106,4.678593813115852e-12,0.0
0.0001344026880537611,4.708817444078345e-12,0.0
0.00013500270005400108,4.739232906860028e-12,0.0
0.00013560271205424108,4.769841396346593e-12,0.0
0.0001362027240544811,4.800644115255562e-12,0.0
0.00013680273605472108,4.831642273296144e-12,0.0
